Name,Code,RegDate,LastClose,Pivot,Bottom,LastIntStart,LastIntEnd,LastIntPeriod,T,Breakout,BreakoutDate,NewInterval
대한제강,084010,2025-01-24,16550,16710,16260,2025-01-22,2025-01-24,3,3,False,,False
대한제강,084010,2025-01-31,16570,16710,16260,2025-01-22,2025-01-31,10,3,False,,False
대한제강,084010,2025-02-03,16550,16710,16260,2025-01-22,2025-02-03,13,3,False,,False
대한제강,084010,2025-02-04,16370,16710,16260,2025-01-22,2025-02-04,14,3,False,,False
대한제강,084010,2025-03-10,15900,16230,15610,2025-03-07,2025-03-10,4,4,False,,False
대한제강,084010,2025-03-17,16140,16190,15650,2025-03-13,2025-03-17,5,3,False,,False
대한제강,084010,2025-03-18,16050,16200,15650,2025-03-13,2025-03-18,6,3,False,,False
대한제강,084010,2025-03-19,16040,16200,15650,2025-03-13,2025-03-19,7,3,False,,False
대한제강,084010,2025-03-20,16030,16120,15940,2025-03-19,2025-03-20,2,4,False,,False
대한제강,084010,2025-03-21,16200,16250,15860,2025-03-21,2025-03-21,1,4,False,,True
대한제강,084010,2025-03-24,16270,16250,15670,2025-03-19,2025-03-24,6,4,False,,False
대한제강,084010,2025-03-25,16160,16300,15980,2025-03-24,2025-03-25,2,5,False,,False
대한제강,084010,2025-03-26,16200,16380,15670,2025-03-19,2025-03-26,8,4,False,,False
대한제강,084010,2025-03-27,15960,16380,15670,2025-03-19,2025-03-27,9,4,False,,False
대한제강,084010,2025-03-28,15680,16380,15670,2025-03-19,2025-03-28,10,4,False,,False
동운아나텍,094170,2025-03-07,20600,21100,20000,2025-03-06,2025-03-07,2,3,False,,False
동운아나텍,094170,2025-03-10,20750,21100,20000,2025-03-06,2025-03-10,5,3,False,,False
동운아나텍,094170,2025-03-11,21800,21100,20000,2025-03-06,2025-03-10,3,3,True,2025-03-11,False
동원산업,006040,2025-02-13,34350,34650,34100,2025-02-12,2025-02-13,2,4,False,,False
동원산업,006040,2025-02-27,35650,37100,34950,2025-02-24,2025-02-27,4,3,False,,False
동원산업,006040,2025-02-28,35100,37100,34950,2025-02-24,2025-02-28,5,3,False,,False
